network,network_bandwidth_mbps_upload,network_bandwidth_mbps_download,network_base_latency_ms,action_config,action_dof,action_horizon,action_size_bytes,action_size_kb,effective_size_bytes,transfer_time_ms,total_latency_ms,max_frequency_sync_hz,max_frequency_async_hz
4G LTE,18.75,75.0,25.0,8DoF,8,1,32,0.03125,33.6,0.003584,25.003584,39.99426642196575,279017.85714285716
4G LTE,18.75,75.0,25.0,8DoF x10,8,10,320,0.3125,336.0,0.03584,25.03584,39.94273809067321,27901.785714285717
4G LTE,18.75,75.0,25.0,40DoF,40,1,160,0.15625,168.0,0.01792,25.01792,39.971348537368414,55803.571428571435
4G LTE,18.75,75.0,25.0,40DoF x10,40,10,1600,1.5625,1680.0,0.1792,25.1792,39.71532058206773,5580.357142857143
5G NR SA (sub-6GHz),80.0,500.0,10.0,8DoF,8,1,32,0.03125,33.6,0.0005376000000000001,10.0005376,99.99462428899822,1860119.0476190473
5G NR SA (sub-6GHz),80.0,500.0,10.0,8DoF x10,8,10,320,0.3125,336.0,0.005376,10.005376,99.94626888584696,186011.90476190476
5G NR SA (sub-6GHz),80.0,500.0,10.0,40DoF,40,1,160,0.15625,168.0,0.002688,10.002688,99.97312722340236,372023.8095238095
5G NR SA (sub-6GHz),80.0,500.0,10.0,40DoF x10,40,10,1600,1.5625,1680.0,0.02688,10.02688,99.7319205974341,37202.380952380954
WiFi 5 (802.11ac),350.0,500.0,4.0,8DoF,8,1,32,0.03125,33.6,0.0005376000000000001,4.0005376,249.96640451523314,1860119.0476190473
WiFi 5 (802.11ac),350.0,500.0,4.0,8DoF x10,8,10,320,0.3125,336.0,0.005376,4.005376,249.6644509778857,186011.90476190476
WiFi 5 (802.11ac),350.0,500.0,4.0,40DoF,40,1,160,0.15625,168.0,0.002688,4.002688,249.83211282018485,372023.8095238095
WiFi 5 (802.11ac),350.0,500.0,4.0,40DoF x10,40,10,1600,1.5625,1680.0,0.02688,4.02688,248.33121424030514,37202.380952380954
WiFi 6 (802.11ax),560.0,800.0,3.5,8DoF,8,1,32,0.03125,33.6,0.00033600000000000004,3.500336,285.6868597757472,2976190.4761904757
WiFi 6 (802.11ax),560.0,800.0,3.5,8DoF x10,8,10,320,0.3125,336.0,0.00336,3.50336,285.44026306174646,297619.04761904763
WiFi 6 (802.11ax),560.0,800.0,3.5,40DoF,40,1,160,0.15625,168.0,0.00168,3.50168,285.57720865413177,595238.0952380953
WiFi 6 (802.11ax),560.0,800.0,3.5,40DoF x10,40,10,1600,1.5625,1680.0,0.0168,3.5168,284.3494085532302,59523.80952380953
