network,network_bandwidth_mbps_upload,network_bandwidth_mbps_download,image_config,image_size_bytes,return_data_type,return_data_config,return_size_bytes,upload_latency_ms,download_latency_ms,round_trip_latency_ms,round_trip_transfer_ms,max_frequency_sync_hz,max_frequency_async_hz
4G LTE,18.75,75.0,224x224 uint8 (comp 0.1x),15052,action,8DoF,32,31.743296,25.003584,56.746880000000004,6.74688,17.622114202578185,148.2166571808006
4G LTE,18.75,75.0,224x224 uint8 (comp 0.1x),15052,action,40DoF x10,1600,31.743296,25.1792,56.922496,6.922496,17.567746853546268,144.45656595540106
4G LTE,18.75,75.0,512x512 uint8 (comp 0.1x),78643,action,8DoF,32,60.232064,25.003584,85.235648,35.235648,11.732180413528386,28.380349355289283
4G LTE,18.75,75.0,512x512 uint8 (comp 0.1x),78643,action,40DoF x10,1600,60.232064,25.1792,85.411264,35.411264,11.708057616381838,28.239601952644218
5G NR SA (sub-6GHz),80.0,500.0,224x224 uint8 (comp 0.1x),15052,action,8DoF,32,11.58046,10.0005376,21.5809976,1.5809976,46.3370608965732,632.5120291137697
5G NR SA (sub-6GHz),80.0,500.0,224x224 uint8 (comp 0.1x),15052,action,40DoF x10,1600,11.58046,10.02688,21.60734,1.60734,46.28056947315125,622.1459056577949
5G NR SA (sub-6GHz),80.0,500.0,512x512 uint8 (comp 0.1x),78643,action,8DoF,32,18.257515,10.0005376,28.2580526,8.258052600000001,35.388142776689435,121.0939247347492
5G NR SA (sub-6GHz),80.0,500.0,512x512 uint8 (comp 0.1x),78643,action,40DoF x10,1600,18.257515,10.02688,28.284395000000004,8.284395000000002,35.35518436933157,120.70887493896655
WiFi 5 (802.11ac),350.0,500.0,224x224 uint8 (comp 0.1x),15052,action,8DoF,32,4.361248,4.0005376,8.361785600000001,0.36178560000000004,119.59168147052226,2764.0680004953206
WiFi 5 (802.11ac),350.0,500.0,224x224 uint8 (comp 0.1x),15052,action,40DoF x10,1600,4.361248,4.02688,8.388128,0.38812800000000003,119.21611115137966,2576.469618270261
WiFi 5 (802.11ac),350.0,500.0,512x512 uint8 (comp 0.1x),78643,action,8DoF,32,5.887432,4.0005376,9.887969600000002,1.8879696000000001,101.13299701083221,529.6695455265805
WiFi 5 (802.11ac),350.0,500.0,512x512 uint8 (comp 0.1x),78643,action,40DoF x10,1600,5.887432,4.02688,9.914312,1.9143120000000002,100.86428589295959,522.3808867102123
WiFi 6 (802.11ax),560.0,800.0,224x224 uint8 (comp 0.1x),15052,action,8DoF,32,3.72578,3.500336,7.226115999999999,0.226116,138.3869287456775,4422.508800792513
WiFi 6 (802.11ax),560.0,800.0,224x224 uint8 (comp 0.1x),15052,action,40DoF x10,1600,3.72578,3.5168,7.24258,0.24258000000000002,138.07234438556426,4122.351389232418
WiFi 6 (802.11ax),560.0,800.0,512x512 uint8 (comp 0.1x),78643,action,8DoF,32,4.679645,3.500336,8.179981,1.179981,122.24967270706375,847.4712728425288
WiFi 6 (802.11ax),560.0,800.0,512x512 uint8 (comp 0.1x),78643,action,40DoF x10,1600,4.679645,3.5168,8.196445,1.196445,122.00411275864109,835.8094187363398
WiFi 6E (802.11ax 6GHz),1050.0,1500.0,224x224 uint8 (comp 0.1x),15052,action,8DoF,32,3.120416,3.0001792,6.1205952,0.12059520000000001,163.38280303196655,8292.204001485961
WiFi 6E (802.11ax 6GHz),1050.0,1500.0,224x224 uint8 (comp 0.1x),15052,action,40DoF x10,1600,3.120416,3.00896,6.129376000000001,0.12937600000000002,163.148744668299,7729.408854810783
WiFi 6E (802.11ax 6GHz),1050.0,1500.0,512x512 uint8 (comp 0.1x),78643,action,8DoF,32,3.629144,3.0001792,6.6293232,0.6293232000000001,150.84496106631218,1589.0086365797413
WiFi 6E (802.11ax 6GHz),1050.0,1500.0,512x512 uint8 (comp 0.1x),78643,action,40DoF x10,1600,3.629144,3.00896,6.638104,0.638104,150.64542525998388,1567.142660130637
WiFi 7 (802.11be),2100.0,3000.0,224x224 uint8 (comp 0.1x),15052,action,8DoF,32,2.560208,2.5000896,5.0602976,0.06029760000000001,197.61683581613855,16584.408002971923
WiFi 7 (802.11be),2100.0,3000.0,224x224 uint8 (comp 0.1x),15052,action,40DoF x10,1600,2.560208,2.50448,5.064688,0.06468800000000001,197.44552872753462,15458.817709621566
WiFi 7 (802.11be),2100.0,3000.0,512x512 uint8 (comp 0.1x),78643,action,8DoF,32,2.814572,2.5000896,5.3146616,0.31466160000000004,188.15873432092081,3178.0172731594826
WiFi 7 (802.11be),2100.0,3000.0,512x512 uint8 (comp 0.1x),78643,action,40DoF x10,1600,2.814572,2.50448,5.319052,0.319052,188.0034261744386,3134.285320261274
