network,network_bandwidth_mbps_upload,network_bandwidth_mbps_download,network_base_latency_ms,image_config,image_resolution,image_size_bytes,image_size_mb,effective_size_bytes,transfer_time_ms,total_latency_ms,max_frequency_sync_hz,max_frequency_async_hz
4G LTE,18.75,75.0,25.0,224x224 uint8,224,150528,0.1435546875,158054.4,67.436544,92.436544,10.818232235077936,14.828755162779398
4G LTE,18.75,75.0,25.0,384x384 uint8,384,442368,0.421875,464486.4,198.180864,223.180864,4.480670887625921,5.045895854001323
4G LTE,18.75,75.0,25.0,512x512 uint8,512,786432,0.75,825753.6000000001,352.32153600000004,377.32153600000004,2.650259538856536,2.8383164178757436
4G LTE,18.75,75.0,25.0,1024x1024 uint8,1024,3145728,3.0,3303014.4000000004,1409.2861440000001,1434.2861440000001,0.6972109464929753,0.7095791044689359
4G LTE,18.75,75.0,25.0,224x224 uint8 (comp 0.1x),224,15052,0.014354705810546875,15804.6,6.743296,31.743296,31.502714777948704,148.29543297520976
4G LTE,18.75,75.0,25.0,384x384 uint8 (comp 0.1x),384,44236,0.042186737060546875,46447.8,19.817728000000002,44.817728,22.312599157190654,50.459871081084565
4G LTE,18.75,75.0,25.0,512x512 uint8 (comp 0.1x),512,78643,0.07499980926513672,82575.15000000001,35.232064,60.232064,16.60245280653175,28.383236361060195
4G LTE,18.75,75.0,25.0,1024x1024 uint8 (comp 0.1x),1024,314572,0.2999992370605469,330300.60000000003,140.928256,165.928256,6.026701082183374,7.095809090265049
5G NR SA (sub-6GHz),80.0,500.0,10.0,224x224 uint8,224,150528,0.1435546875,158054.4,15.805439999999999,25.805439999999997,38.751519059547135,63.2693553611921
5G NR SA (sub-6GHz),80.0,500.0,10.0,384x384 uint8,384,442368,0.421875,464486.4,46.448640000000005,56.448640000000005,17.715218648314643,21.529155643738974
5G NR SA (sub-6GHz),80.0,500.0,10.0,512x512 uint8,512,786432,0.75,825753.6000000001,82.57536,92.57536,10.80201038375654,12.110150049603174
5G NR SA (sub-6GHz),80.0,500.0,10.0,1024x1024 uint8,1024,3145728,3.0,3303014.4000000004,330.30144,340.30144,2.9385711679621456,3.0275375124007935
5G NR SA (sub-6GHz),80.0,500.0,10.0,224x224 uint8 (comp 0.1x),224,15052,0.014354705810546875,15804.6,1.58046,11.58046,86.35235560590857,632.7271806942283
5G NR SA (sub-6GHz),80.0,500.0,10.0,384x384 uint8 (comp 0.1x),384,44236,0.042186737060546875,46447.8,4.64478,14.64478,68.2837161090846,215.29544994596085
5G NR SA (sub-6GHz),80.0,500.0,10.0,512x512 uint8 (comp 0.1x),512,78643,0.07499980926513672,82575.15000000001,8.257515000000001,18.257515,54.77196650256072,121.10180847385682
5G NR SA (sub-6GHz),80.0,500.0,10.0,1024x1024 uint8 (comp 0.1x),1024,314572,0.2999992370605469,330300.60000000003,33.030060000000006,43.030060000000006,23.239567874179116,30.275452118464205
WiFi 5 (802.11ac),350.0,500.0,4.0,224x224 uint8,224,150528,0.1435546875,158054.4,3.612672,7.612672,131.35992198271515,276.8034297052154
