network,network_bandwidth_mbps_upload,network_bandwidth_mbps_download,network_base_latency_ms,kvcache_config,model_name,num_layers,seq_length,kvcache_size_bytes,kvcache_size_mb,kvcache_size_gb,effective_size_bytes,transfer_time_ms,total_latency_ms,max_frequency_sync_hz,max_frequency_async_hz
4G LTE,18.75,75.0,25.0,"OpenVLA-7B (seq=256, fp16)",OpenVLA-7B,32,256,134217728,128.0,0.125,140928614.4,15032.385536,15057.385536,0.06641259185461823,0.06652304104396276
4G LTE,18.75,75.0,25.0,"Pi0 (Gemma 2B) (seq=256, fp16)",Pi0 (Gemma 2B),18,256,4718592,4.5,0.00439453125,4954521.600000001,528.4823040000001,553.4823040000001,1.8067424970464816,1.8922109452504956
4G LTE,18.75,75.0,25.0,"Pi0.6 (Gemma 3 4B) (seq=256, fp16)",Pi0.6 (Gemma 3 4B),34,256,22282240,21.25,0.020751953125,23396352.0,2495.61088,2520.61088,0.3967292246235166,0.4007034942883403
5G NR SA (sub-6GHz),80.0,500.0,10.0,"OpenVLA-7B (seq=256, fp16)",OpenVLA-7B,32,256,134217728,128.0,0.125,140928614.4,2254.8578304000002,2264.8578304000002,0.4415288176491804,0.44348694029308494
5G NR SA (sub-6GHz),80.0,500.0,10.0,"Pi0 (Gemma 2B) (seq=256, fp16)",Pi0 (Gemma 2B),18,256,4718592,4.5,0.00439453125,4954521.600000001,79.27234560000001,89.27234560000001,11.201677219064802,12.614739635003305
5G NR SA (sub-6GHz),80.0,500.0,10.0,"Pi0.6 (Gemma 3 4B) (seq=256, fp16)",Pi0.6 (Gemma 3 4B),34,256,22282240,21.25,0.020751953125,23396352.0,374.341632,384.341632,2.6018518857722914,2.6713566285889354
WiFi 5 (802.11ac),350.0,500.0,4.0,"OpenVLA-7B (seq=256, fp16)",OpenVLA-7B,32,256,134217728,128.0,0.125,140928614.4,2254.8578304000002,2258.8578304000002,0.44270161076180664,0.44348694029308494
WiFi 5 (802.11ac),350.0,500.0,4.0,"Pi0 (Gemma 2B) (seq=256, fp16)",Pi0 (Gemma 2B),18,256,4718592,4.5,0.00439453125,4954521.600000001,79.27234560000001,83.27234560000001,12.008788665609533,12.614739635003305
WiFi 5 (802.11ac),350.0,500.0,4.0,"Pi0.6 (Gemma 3 4B) (seq=256, fp16)",Pi0.6 (Gemma 3 4B),34,256,22282240,21.25,0.020751953125,23396352.0,374.341632,378.341632,2.643113829989505,2.6713566285889354
WiFi 6 (802.11ax),560.0,800.0,3.5,"OpenVLA-7B (seq=256, fp16)",OpenVLA-7B,32,256,134217728,128.0,0.125,140928614.4,1409.2861440000001,1412.7861440000001,0.7078212114741691,0.7095791044689359
