model.name,model.stage,model.dec_steps,model.seq_len_inference_prefill,hardware.name,hardware.num_chips,batch_size,boundness,op_intensity,time_ms
dinov2-large-patch14-vision,prefill,1,256,A100_80GB,1,1,Comp,174.30873766233765,0.5237706932690485
dinov2-large-patch14-vision,prefill,1,256,A100_80GB,2,1,Comm,163.68015609756097,0.7643905549678577
dinov2-large-patch14-vision,prefill,1,256,A100_80GB,2,2,Comp,175.4480104575163,0.5280259016023817
dinov2-large-patch14-vision,prefill,1,256,A100_80GB,4,1,Comm,145.88883478260868,0.9118074760503327
dinov2-large-patch14-vision,prefill,1,256,A100_80GB,4,2,Comm,165.70089876543207,0.7686457633011909
dinov2-large-patch14-vision,prefill,1,256,A100_80GB,4,4,Comp,175.4480104575163,0.5365363182690485
dinov2-large-patch14-vision,prefill,1,256,B100,1,1,Mem,174.30873766233765,0.10481770833333333
dinov2-large-patch14-vision,prefill,1,256,B100,1,2,Comp,253.24099622641506,0.19884264255923811
dinov2-large-patch14-vision,prefill,1,256,B100,2,1,Comm,163.68015609756097,0.35142274305555554
dinov2-large-patch14-vision,prefill,1,256,B100,2,2,Mem,175.4480104575163,0.10561024305555555
dinov2-large-patch14-vision,prefill,1,256,B100,2,4,Comp,255.65281523809517,0.20017771200368256
dinov2-large-patch14-vision,prefill,1,256,B100,4,1,Comm,145.88883478260868,0.38897526041666663
dinov2-large-patch14-vision,prefill,1,256,B100,4,2,Comm,165.70089876543207,0.3522152777777778
dinov2-large-patch14-vision,prefill,1,256,B100,4,4,Mem,175.4480104575163,0.10719531250000001
dinov2-large-patch14-vision,prefill,1,256,B100,4,8,Comp,255.65281523809517,0.20284785089257143
dinov2-large-patch14-vision,prefill,1,256,H100,1,1,Mem,174.30873766233765,0.24308146766169156
dinov2-large-patch14-vision,prefill,1,256,H100,1,2,Comp,253.24099622641506,0.35300748481423017
dinov2-large-patch14-vision,prefill,1,256,H100,2,1,Comm,163.68015609756097,0.52470540526534
dinov2-large-patch14-vision,prefill,1,256,H100,2,2,Mem,175.4480104575163,0.24516653710613595
dinov2-large-patch14-vision,prefill,1,256,H100,2,4,Comp,255.65281523809517,0.3561776237031191
dinov2-large-patch14-vision,prefill,1,256,H100,4,1,Comm,145.88883478260868,0.6900173740671642
dinov2-large-patch14-vision,prefill,1,256,H100,4,2,Comm,165.70089876543207,0.5267904747097845
dinov2-large-patch14-vision,prefill,1,256,H100,4,4,Mem,175.4480104575163,0.24933667599502488
dinov2-large-patch14-vision,prefill,1,256,H100,4,8,Comp,255.65281523809517,0.3625179014808968
dinov2-large-patch14-vision,prefill,1,256,Jetson_AGX_Thor,1,1,Mem,174.30873766233765,2.9565972222222214
dinov2-large-patch14-vision,prefill,1,256,Jetson_AGX_Thor,1,2,Mem,253.24099622641506,3.8298611111111107
dinov2-large-patch14-vision,prefill,1,256,Jetson_AGX_Thor,1,4,Mem,327.36031219512194,5.576388888888889
dinov2-large-patch14-vision,prefill,1,256,Jetson_AGX_Thor,1,8,Mem,383.4792228571428,9.069444444444445
dinov2-large-patch14-vision,prefill,1,256,Jetson_AGX_Thor,1,16,Mem,419.43039999999996,16.055555555555554
dinov2-large-patch14-vision,prefill,1,256,Jetson_AGX_Thor,1,32,Mem,440.0581245901639,30.02777777777778
dinov2-large-patch14-vision,prefill,1,256,Jetson_AGX_Thor,1,64,Mem,451.15202689075625,57.972222222222214
dinov2-large-patch14-vision,prefill,1,256,Jetson_AGX_Thor,1,128,Mem,456.91141446808507,113.86111111111111
siglip2-so400m-patch14-384-vision,prefill,1,256,A100_80GB,1,1,Comp,181.73405148448185,0.7095322661013317
siglip2-so400m-patch14-384-vision,prefill,1,256,A100_80GB,2,1,Comm,170.94331116872834,0.9411821486756657
