model.name,model.stage,model.seq_len_inference_prefill,hardware.name,hardware.num_chips,batch_size,vision_time_ms,vlm_time_ms,action_time_ms,e2e_time_ms,vision_boundness,vlm_boundness,action_boundness,vision_op_intensity,vlm_op_intensity,action_op_intensity
pi-0,e2e,256,A100_80GB,1,1,2.1285967983039953,10.465595076923076,3.604225367321714,16.198417242548786,Comp,Comp,Mem,321.37342499720927,542.7692132772324,53.99005534676914
pi-0,e2e,256,B100,1,1,0.400627858141125,1.8658660937142857,0.9138752891335624,3.180369240988973,Comp,Comp,Mem,321.37342499720927,542.7692132772324,53.99005534676914
pi-0,e2e,256,H100,1,1,0.7091329690340838,3.301583077856421,2.1419726813122613,6.152688728202765,Comp,Comp,Mem,321.37342499720927,542.7692132772324,53.99005534676914
pi-0,e2e,256,Jetson_AGX_Thor,1,1,6.062347412109375,20.303090413411457,26.199926932652797,52.56536475817363,Mem,Mem,Mem,321.37342499720927,542.7692132772324,53.99005534676914
pi-0,e2e,256,Jetson_AGX_Thor,1,2,9.288848876953125,26.934305826822914,27.660270531972255,63.88342523574829,Mem,Mem,Mem,397.78518350259066,791.3996913428767,96.11828390208201
pi-0,e2e,256,Jetson_AGX_Thor,1,4,15.741851806640625,40.19673665364583,30.580957730611168,86.51954619089761,Mem,Mem,Mem,451.4556443933355,1026.5104749778957,157.6092071846049
pi-0,e2e,256,Jetson_AGX_Thor,1,8,28.647857666015625,69.88594846995834,36.42233212788899,134.95613826386295,Mem,Mem,Mem,484.1148108208092,1205.5901840083075,231.73432013246799
pi-0,e2e,256,Jetson_AGX_Thor,1,16,54.459869384765625,139.77189693991667,48.10508092244466,242.33684724712697,Mem,Mem,Mem,502.28286323961834,1205.5901840083075,302.9819763404498
pi-0,e2e,256,Jetson_AGX_Thor,1,32,106.08389282226562,279.54379387983334,72.62046547697265,458.2481521790716,Mem,Mem,Mem,511.88803166662035,1205.5901840083075,358.0192042425262
pi-0,e2e,256,Jetson_AGX_Thor,1,64,209.33193969726562,559.0875877596667,129.61593095394534,898.0354584108777,Mem,Mem,Mem,516.8297057059909,1205.5901840083075,393.78509406231393
pi-0,e2e,256,RTX_4090,1,1,4.0208364321413965,19.78948887272727,7.254440338499391,31.064765643368055,Comp,Comp,Mem,321.37342499720927,542.7692132772324,53.99005534676914
pi-0,e2e,256,A100_80GB,1,2,4.257193596607991,20.931190153846153,3.932488253034797,29.12087200348894,Comp,Comp,Mem,321.37342499720927,542.7692132772324,96.11828390208201
pi-0,e2e,256,A100_80GB,1,4,8.514387193215981,41.862380307692305,5.401048615384615,55.777816116292904,Comp,Comp,Comp,321.37342499720927,542.7692132772324,157.6092071846049
pi-0,e2e,256,B100,1,8,3.205022865129,14.926928749714286,1.9540686177359095,20.086020232579195,Comp,Comp,Comp,321.37342499720927,542.7692132772324,231.73432013246799
pi-0,e2e,256,B100,1,2,0.80125571628225,3.7317321874285714,0.9927896407671246,5.525777544477946,Comp,Comp,Mem,321.37342499720927,542.7692132772324,96.11828390208201
