model.name,model.stage,model.dec_steps,model.seq_len_inference_prefill,hardware.name,hardware.num_chips,batch_size,time_ms
siglip2-base-patch16-224-vision,prefill,1,256,A100_80GB,1,1,0.1499540272066624
siglip2-base-patch16-224-vision,prefill,1,256,A100_80GB,2,1,0.1533954334566624
siglip2-base-patch16-224-vision,prefill,1,256,A100_80GB,2,2,0.1533954334566624
siglip2-base-patch16-224-vision,prefill,1,256,A100_80GB,4,1,0.16027824595666243
siglip2-base-patch16-224-vision,prefill,1,256,A100_80GB,4,2,0.16027824595666243
siglip2-base-patch16-224-vision,prefill,1,256,A100_80GB,4,4,0.16027824595666243
siglip2-base-patch16-224-vision,prefill,1,256,B100,1,1,0.03271484375
siglip2-base-patch16-224-vision,prefill,1,256,B100,1,2,0.05799968853228571
siglip2-base-patch16-224-vision,prefill,1,256,B100,2,1,0.03337174479166667
siglip2-base-patch16-224-vision,prefill,1,256,B100,2,2,0.03337174479166667
siglip2-base-patch16-224-vision,prefill,1,256,B100,2,4,0.059063490615619045
siglip2-base-patch16-224-vision,prefill,1,256,B100,4,1,0.034685546875
siglip2-base-patch16-224-vision,prefill,1,256,B100,4,2,0.034685546875
siglip2-base-patch16-224-vision,prefill,1,256,B100,4,4,0.034685546875
siglip2-base-patch16-224-vision,prefill,1,256,B100,4,8,0.061191094782285724
siglip2-base-patch16-224-vision,prefill,1,256,H100,1,1,0.07541394589552239
siglip2-base-patch16-224-vision,prefill,1,256,H100,1,2,0.10451081694130962
siglip2-base-patch16-224-vision,prefill,1,256,H100,1,4,0.20468217097318264
siglip2-base-patch16-224-vision,prefill,1,256,H100,2,1,0.07722774797885573
siglip2-base-patch16-224-vision,prefill,1,256,H100,2,2,0.07722774797885573
siglip2-base-patch16-224-vision,prefill,1,256,H100,2,4,0.10713842110797629
siglip2-base-patch16-224-vision,prefill,1,256,H100,2,8,0.20893737930651599
siglip2-base-patch16-224-vision,prefill,1,256,H100,4,1,0.08085535214552239
siglip2-base-patch16-224-vision,prefill,1,256,H100,4,2,0.08085535214552239
siglip2-base-patch16-224-vision,prefill,1,256,H100,4,4,0.08085535214552239
siglip2-base-patch16-224-vision,prefill,1,256,H100,4,8,0.11239362944130964
siglip2-base-patch16-224-vision,prefill,1,256,H100,4,16,0.21744779597318264
siglip2-giant-opt-patch16-384-vision,prefill,1,576,A100_80GB,1,1,4.442735852307692
siglip2-giant-opt-patch16-384-vision,prefill,1,576,A100_80GB,2,1,3.678260504278846
siglip2-giant-opt-patch16-384-vision,prefill,1,576,A100_80GB,2,2,4.454722180432691
siglip2-giant-opt-patch16-384-vision,prefill,1,576,A100_80GB,4,1,3.336522830264423
siglip2-giant-opt-patch16-384-vision,prefill,1,576,A100_80GB,4,2,3.690246832403846
siglip2-giant-opt-patch16-384-vision,prefill,1,576,A100_80GB,4,4,4.478694836682692
siglip2-giant-opt-patch16-384-vision,prefill,1,576,B100,1,1,0.8223879061092858
siglip2-giant-opt-patch16-384-vision,prefill,1,576,B100,2,1,0.8244689607967857
siglip2-giant-opt-patch16-384-vision,prefill,1,576,B100,2,2,0.8244689607967857
siglip2-giant-opt-patch16-384-vision,prefill,1,576,B100,4,1,0.8286310701717858
siglip2-giant-opt-patch16-384-vision,prefill,1,576,B100,4,2,0.8286310701717858
siglip2-giant-opt-patch16-384-vision,prefill,1,576,B100,4,4,0.8286310701717858
siglip2-giant-opt-patch16-384-vision,prefill,1,576,H100,1,1,1.44175982241081
siglip2-giant-opt-patch16-384-vision,prefill,1,576,H100,2,1,1.4464219317858098
siglip2-giant-opt-patch16-384-vision,prefill,1,576,H100,2,2,1.4464219317858098
siglip2-giant-opt-patch16-384-vision,prefill,1,576,H100,4,1,1.45574615053581
siglip2-giant-opt-patch16-384-vision,prefill,1,576,H100,4,2,1.45574615053581
siglip2-giant-opt-patch16-384-vision,prefill,1,576,H100,4,4,1.45574615053581
siglip2-large-patch16-384-vision,prefill,1,576,A100_80GB,1,1,1.2195745476923077
siglip2-large-patch16-384-vision,prefill,1,576,A100_80GB,2,1,1.2278987664423076
siglip2-large-patch16-384-vision,prefill,1,576,A100_80GB,2,2,1.2278987664423076
siglip2-large-patch16-384-vision,prefill,1,576,A100_80GB,4,1,1.2445472039423078
siglip2-large-patch16-384-vision,prefill,1,576,A100_80GB,4,2,1.2445472039423078
siglip2-large-patch16-384-vision,prefill,1,576,A100_80GB,4,4,1.2445472039423078
siglip2-large-patch16-384-vision,prefill,1,576,B100,1,1,0.23834641037914284
siglip2-large-patch16-384-vision,prefill,1,576,B100,2,1,0.23981711350414284
siglip2-large-patch16-384-vision,prefill,1,576,B100,2,2,0.23981711350414284
siglip2-large-patch16-384-vision,prefill,1,576,B100,4,1,0.24275851975414287
siglip2-large-patch16-384-vision,prefill,1,576,B100,4,2,0.24275851975414287
